D_LEFT,THETA_GOAL,THETA_OUT
P,N,N
M,N,N
G,N,N
P,E,E
M,E,E
G,E,E
P,O,E
M,O,NE
G,O,O
P,S,S
M,S,S
G,S,S
P,SE,SE
M,SE,SE
G,SE,SE
P,SO,E
M,SO,SE
G,SO,SE
P,NO,E
M,NO,NE
G,NO,NE
P,NE,NE
M,NE,NE
G,NE,NE
