D_LEFT,THETA_GOAL,THETA_OUT
inf,N,N
inf,S,S
inf,E,E
inf,O,O
inf,NE,NE
inf,NO,NO
inf,SE,SE
inf,SO,SO
P,N,N
M,N,N
G,N,N
P,E,E
M,E,E
G,E,E
P,O,E
M,O,N
G,O,O
P,S,S
M,S,S
G,S,S
P,SE,SE
M,SE,SE
G,SE,SE
P,SO,NE
M,SO,SE
G,SO,SO
P,NO,SE
M,NO,NE
G,NO,NO
P,NE,NE
M,NE,NE
G,NE,NE
