x,y,s
9.806077810743611,-5.839943303640604,0
9.806077810743611,-5.839943303640604,0
9.806077810743611,-5.839943303640604,0
9.806075432444972,-5.839936344945773,0
9.806027923549875,-5.839797343993541,0
9.805907461757549,-5.839444942896363,0
9.805907461757549,-5.839444942896363,0
9.805591306731273,-5.838520234929098,0
9.805591306731273,-5.838520234929098,0
9.805180970489406,-5.837320265714124,0
9.805180970489406,-5.837320265714124,0
9.804565795679018,-5.835521481623546,0
9.803344755818737,-5.831951667383805,0
9.803344755818737,-5.831951667383805,0
9.802076604402988,-5.8282446023428225,0
9.800472194001001,-5.823554946734567,0
9.79920483618589,-5.819850731003227,0
9.79920483618589,-5.819850731003227,0
9.796996598572603,-5.813396826683755,0
9.796996598572603,-5.813396826683755,0
9.794413744567553,-5.805848338411744,0
9.791456637823385,-5.797206174491205,0
9.791456637823385,-5.797206174491205,0
9.788132596959693,-5.787491413946227,0
9.784455190099834,-5.776743348096193,0
9.78044345921714,-5.765017131004184,0
9.78044345921714,-5.765017131004184,0
9.776120895366324,-5.7523810267615,0
9.774615547656348,-5.747980110394443,0
9.771514483311732,-5.738913430229426,0
9.766653686692923,-5.72469994589623,0
9.766653686692923,-5.72469994589623,0
9.761569470711603,-5.709830665994591,0
9.754497631318843,-5.6891440964229805,0
9.754497631318843,-5.6891440964229805,0
9.754497631318843,-5.6891440964229805,0
9.747159321330887,-5.667672753904276,0
9.739626378916794,-5.645626496673688,0
9.739626378916794,-5.645626496673688,0
9.735808165498156,-5.634449903012274,0
9.73003841701274,-5.617558406799976,0
9.72423964291958,-5.600579198492059,0
9.72230422970049,-5.594911608323044,0
9.72230422970049,-5.594911608323044,0
9.716501377577782,-5.577917201009454,0
9.710718274696871,-5.56097855987902,0
9.710718274696871,-5.56097855987902,0
9.70497166060884,-5.544145097307808,0
9.69927571191734,-5.527458733414,0
9.69927571191734,-5.527458733414,0
9.693642028289648,-5.510953877898571,0
9.686242613703213,-5.489275310765437,0
9.686242613703213,-5.489275310765437,0
9.678984374690147,-5.468010445804882,0
9.678984374690147,-5.468010445804882,0
9.673646415378022,-5.452371964176241,0
9.670152631173222,-5.442136226219816,0
9.666704962140678,-5.432035449157887,0
9.666704962140678,-5.432035449157887,0
9.661614447245341,-5.417122365873869,0
9.65662897433172,-5.402519841092194,0
9.651751484692333,-5.3882391464694495,0
9.65014909662525,-5.383548941549079,0
9.646977749751795,-5.374268620843858,0
9.646977749751795,-5.374268620843858,0
9.64075628571769,-5.356075093528115,0
9.64075628571769,-5.356075093528115,0
9.633161733790379,-5.333902439310373,0
9.633161733790379,-5.333902439310373,0
9.628674152090394,-5.3208254878068555,0
9.628674152090394,-5.3208254878068555,0
9.624219108815701,-5.307864051429303,0
9.619780909385236,-5.294974809324179,0
9.619780909385236,-5.294974809324179,0
9.613864277516631,-5.277830618549779,0
9.609410736652682,-5.264954453525469,0
9.607920832222378,-5.260652118487485,0
9.606427604436174,-5.2563426698428035,0
