D_RIGHT,THETA_GOAL,THETA_OUT
P,N,N
M,N,N
G,N,N
P,E,O
M,E,SO
G,E,E
P,O,O
M,O,O
G,O,O
P,S,S
M,S,S
G,S,S
P,SE,O
M,SE,SO
G,SE,SO
P,SO,O
M,SO,SO
G,SO,SO
P,NO,NO
M,NO,NO
G,NO,NO
P,NE,O
M,NE,NO
G,NE,NO
