D_RIGHT,THETA_GOAL,THETA_OUT
P,N,NO
M,N,N
G,N,N
P,E,O
M,E,N
G,E,E
P,O,O
M,O,O
G,O,O
P,S,SO
M,S,S
G,S,S
P,SE,NE
M,SE,SO
G,SE,SE
P,SO,SO
M,SO,SO
G,SO,SO
P,NO,NO
M,NO,NO
G,NO,NO
P,NE,SO
M,NE,NO
G,NE,NE
