D_LEFT,THETA_GOAL,THETA_OUT
P,N,NE
M,N,N
G,N,N
P,E,E
M,E,E
G,E,E
P,O,E
M,O,N
G,O,O
P,S,SE
M,S,S
G,S,S
P,SE,SE
M,SE,SE
G,SE,SE
P,SO,SE
M,SO,SE
G,SO,SO
P,NO,NE
M,NO,NE
G,NO,NO
P,NE,NE
M,NE,NE
G,NE,NE
